,Date,Open_ma,Close_ma,Performance,Buy_and_hold_performance,Superiority,Volatility,Sharpe_ratio,Max_drawdown,Sortino_ratio,Calmar_ratio,Number_of_trades,Open,High,Low,Close,Volume,EMA_open,EMA_close,Target,Trade_on,Port_change,Port,Performance Cumprod,Buy_and_hold_performance Cumprod,Performance portfolio,Performance buy and hold
2024-02-19 13:00:00,2024-02-19,,,,,,,,,,,,2906.11,2912.63,2900.6,2905.18,8000.8149,2906.11,2905.18,-1.0,0.0,0.0009044607453719841,97.39916797778395,,,,
2024-02-19 14:00:00,2024-02-19,,,,,,,,,,,,2894.06,2900.96,2886.03,2896.87,8685.6865,2894.06,2896.87,-1.0,0.0,0.002860407960952487,97.67776933325774,,,,
2024-02-19 15:00:00,2024-02-19,,,,,,,,,,,,2900.79,2919.79,2899.57,2913.92,8218.6707,2900.79,2913.92,-1.0,1.0,-0.007885662801575558,96.90751538108559,,,,
2024-02-19 16:00:00,2024-02-19,,,,,,,,,,,,2908.93,2919.47,2907.12,2916.21,9005.1131,2908.93,2916.21,-1.0,1.0,-0.0027858829343290013,96.63754238777719,,,,
2024-02-19 17:00:00,2024-02-19,,,,,,,,,,,,2897.42,2942.5,2887.29,2939.99,19851.4462,2897.42,2939.99,-1.0,1.0,-0.010154419606269694,95.65624423265302,,,,
2024-02-19 18:00:00,2024-02-19,,,,,,,,,,,,2942.56,2953.84,2937.53,2939.12,14724.6795,2942.56,2939.12,-1.0,1.0,-0.0017040806261246159,95.4932382800883,,,,
2024-02-19 19:00:00,2024-02-19,,,,,,,,,,,,2932.65,2933.0,2920.03,2926.37,10461.2189,2932.65,2926.37,-1.0,0.0,0.004338033152780424,95.9074911136137,,,,
2024-02-19 20:00:00,2024-02-19,,,,,,,,,,,,2934.04,2938.0,2927.0,2936.56,6604.3617,2934.04,2936.56,-1.0,0.0,-0.0034821297375246655,95.57352878675559,,,,
2024-02-19 21:00:00,2024-02-19,,,,,,,,,,,,2934.17,2950.56,2932.61,2942.93,5669.9477,2934.17,2942.93,-1.0,1.0,-0.004169204783828661,95.17506317333047,,,,
2024-02-19 22:00:00,2024-02-19,,,,,,,,,,,,2967.84,2984.52,2962.44,2974.99,15455.5372,2967.84,2974.99,-1.0,1.0,-0.012893905053806902,93.94788494528346,,,,
2024-02-19 23:00:00,2024-02-19,,,,,,,,,,,,2961.52,2963.43,2950.89,2953.58,11835.1392,2961.52,2953.58,-1.0,1.0,0.0051966628459254845,94.4361004284319,,,,
2024-02-20 00:00:00,2024-02-19,,,,,,,,,,,,2944.8,2954.8,2940.72,2950.58,10673.0595,2944.8,2950.58,-1.0,0.0,0.0010157165202906303,94.53202073574889,,,,
2024-02-20 01:00:00,2024-02-20,,,,,,,,,,,,2934.99,2944.7,2903.31,2915.21,17664.8818,2934.99,2915.21,,1.0,-0.002,99.8,,,,
2024-02-20 02:00:00,2024-02-20,,,,,,,,,,,,2921.6,2926.78,2917.28,2921.64,5683.6007,2921.6,2921.64,-1.0,0.0,-0.0022056730046891427,99.57987383413203,,,,
2024-02-20 03:00:00,2024-02-20,,,,,,,,,,,,2926.81,2930.89,2913.76,2918.0,5148.405,2926.81,2918.0,-1.0,1.0,-0.0007541243958872849,99.50477822193433,,,,
2024-02-20 04:00:00,2024-02-20,,,,,,,,,,,,2907.0,2921.93,2902.38,2917.32,9762.5403,2907.0,2917.32,-1.0,0.0,0.00023303632625080065,99.52796644989557,,,,
2024-02-20 05:00:00,2024-02-20,,,,,,,,,,,,2924.42,2935.2,2922.61,2931.32,5551.7093,2924.42,2931.32,-1.0,1.0,-0.006798925040790863,98.85128326654039,,,,
2024-02-20 06:00:00,2024-02-20,,,,,,,,,,,,2928.1,2933.63,2926.0,2932.28,3638.7763,2928.1,2932.28,-1.0,1.0,-0.002327497509654366,98.62120715091139,,,,
2024-02-20 07:00:00,2024-02-20,,,,,,,,,,,,2930.8,2931.72,2926.6,2929.27,2473.6201,2930.8,2929.27,-1.0,1.0,-0.000973495027759894,98.52519989611828,,,,
2024-02-20 08:00:00,2024-02-20,,,,,,,,,,,,2921.78,2923.95,2904.36,2911.48,8773.5928,2921.78,2911.48,-1.0,0.0,0.006073185469417283,99.12356170849883,,,,
2024-02-20 09:00:00,2024-02-20,,,,,,,,,,,,2916.51,2920.99,2890.0,2895.0,14796.4353,2916.51,2895.0,-1.0,0.0,0.005660351436382877,99.68463590339492,,,,
2024-02-20 10:00:00,2024-02-20,,,,,,,,,,,,2900.44,2917.73,2900.25,2916.2,10875.9996,2900.44,2916.2,-1.0,0.0,-0.007322970639032753,98.95464824151169,,,,
2024-02-20 11:00:00,2024-02-20,,,,,,,,,,,,2919.61,2941.0,2919.6,2935.85,13962.3877,2919.61,2935.85,-1.0,1.0,-0.00873822097249849,98.0899606589215,,,,
2024-02-20 12:00:00,2024-02-20,,,,,,,,,,,,2935.3,2954.45,2932.4,2947.4,12012.1799,2935.3,2947.4,-1.0,1.0,-0.0059341246998314565,97.5078826005699,,,,
2024-02-20 13:00:00,2024-02-20,,,,,,,,,,,,2930.81,2971.54,2926.84,2967.93,26665.7843,2930.81,2967.93,-1.0,1.0,-0.008965461084345438,96.63367947369757,,,,
2024-02-20 14:00:00,2024-02-20,,,,,,,,,,,,2997.61,3004.6,2954.44,2967.12,42555.7619,2997.61,2967.12,-1.0,1.0,-0.0017270825120538741,96.46678513580312,,,,
2024-02-20 15:00:00,2024-02-20,,,,,,,,,,,,2939.0,2940.34,2906.79,2911.4,22776.0453,2939.0,2911.4,-1.0,0.0,0.018779152848553412,98.27834963867693,,,,
2024-02-20 16:00:00,2024-02-20,,,,,,,,,,,,2925.08,2934.54,2919.71,2933.34,9983.1552,2925.08,2933.34,-1.0,0.0,-0.007535893384625972,97.53773447378286,,,,
2024-02-20 17:00:00,2024-02-20,,,,,,,,,,,,2897.15,2913.68,2885.47,2900.39,21352.0255,2897.15,2900.39,-1.0,1.0,0.00923292901607051,98.43829345256762,,,,
2024-02-20 18:00:00,2024-02-20,,,,,,,,,,,,2917.29,2921.2,2908.41,2916.51,11608.8754,2917.29,2916.51,-1.0,1.0,-0.007557873251528362,97.69430930755637,,,,
2024-02-20 19:00:00,2024-02-20,,,,,,,,,,,,2930.59,2953.59,2927.1,2953.25,11595.5067,2930.59,2953.25,-1.0,0.0,-0.012597248080753977,96.46362985713117,,,,
2024-02-20 20:00:00,2024-02-20,,,,,,,,,,,,2985.98,2988.08,2966.23,2967.18,14498.2151,2985.98,2967.18,-1.0,1.0,-0.006716837382544599,95.81569934205085,,,,
2024-02-20 21:00:00,2024-02-20,,,,,,,,,,,,2977.46,2994.56,2970.0,2993.54,11265.8293,2977.46,2993.54,-1.0,0.0,-0.008883856051874214,94.96448646158639,,,,
2024-02-20 22:00:00,2024-02-20,,,,,,,,,,,,2988.02,2994.87,2983.34,2988.51,5835.4204,2988.02,2988.51,-1.0,1.0,-0.00031971511989158487,94.93412487941188,,,,
2024-02-20 23:00:00,2024-02-20,,,,,,,,,,,,2995.05,3033.09,2994.64,3012.0,21905.6835,2995.05,3012.0,-1.0,1.0,-0.009860104199082412,93.99806451605218,,,,
2024-02-21 00:00:00,2024-02-20,,,,,,,,,,,,3014.81,3017.15,3004.39,3008.01,5930.79,3014.81,3008.01,-1.0,1.0,-0.0006752988047809491,93.93458773543277,,,,
2024-02-21 01:00:00,2024-02-21,,,,,,,,,,,,3003.53,3004.82,2992.5,2995.26,6566.2917,3003.53,2995.26,,0.0,0.0,100.0,,,,
2024-02-21 02:00:00,2024-02-21,,,,,,,,,,,,3000.45,3005.0,2992.41,3002.1,7868.9745,3000.45,3002.1,-1.0,0.0,-0.0022836081007991593,99.77163918992008,,,,
2024-02-21 03:00:00,2024-02-21,,,,,,,,,,,,3010.11,3011.09,3000.41,3006.0,7071.698,3010.11,3006.0,-1.0,1.0,-0.003299090636554442,99.44248350927492,,,,
2024-02-21 04:00:00,2024-02-21,,,,,,,,,,,,3005.15,3010.0,3003.33,3003.34,5587.9859,3005.15,3003.34,-1.0,0.0,0.0008848968729207766,99.53047985196775,,,,
2024-02-21 05:00:00,2024-02-21,,,,,,,,,,,,2997.55,3008.97,2996.12,2998.79,6494.751,2997.55,2998.79,-1.0,0.0,0.001514979988945701,99.68126653723365,,,,
2024-02-21 06:00:00,2024-02-21,,,,,,,,,,,,2976.27,2980.4,2966.49,2974.4,8782.2551,2976.27,2974.4,-1.0,1.0,0.006133280423103942,100.29263969783668,,,,
2024-02-21 07:00:00,2024-02-21,,,,,,,,,,,,2951.05,2951.06,2921.9,2941.71,16055.6419,2951.05,2941.71,-1.0,0.0,0.010990451855836489,101.39490112593053,,,,
2024-02-21 08:00:00,2024-02-21,,,,,,,,,,,,2940.54,2956.84,2934.6,2955.8,11456.3889,2940.54,2955.8,-1.0,0.0,-0.004789731142770751,100.9092468102895,,,,
